date,ticker,price
2024-01-01,AAPL,148.4735552141323
2024-01-02,AAPL,147.24368415672376
2024-01-03,AAPL,145.83187600489532
2024-01-04,AAPL,146.0447080683714
2024-01-05,AAPL,145.41942515405236
2024-01-06,AAPL,146.62666318874903
2024-01-07,AAPL,146.2874482534284
2024-01-08,AAPL,146.5114609444407
2024-01-09,AAPL,148.061178649369
2024-01-10,AAPL,148.0196013953761
2024-01-11,AAPL,147.0318507741234
2024-01-12,AAPL,146.42093531965222
2024-01-13,AAPL,146.17757624966075
2024-01-14,AAPL,146.51795654730404
2024-01-15,AAPL,145.94409895256678
2024-01-16,AAPL,147.06830070638205
2024-01-17,AAPL,145.7567457818651
2024-01-18,AAPL,145.39273299352524
2024-01-19,AAPL,145.61363443332942
2024-01-20,AAPL,148.19483522358732
