date,ticker,price
2024-01-01,AAPL,150.9858262982707
2024-01-02,AAPL,150.84670016118883
2024-01-03,AAPL,149.91536691359502
2024-01-04,AAPL,149.28651069348132
2024-01-05,AAPL,147.85859732487503
2024-01-06,AAPL,146.57628484733465
2024-01-07,AAPL,145.3190167907355
2024-01-08,AAPL,144.5426455847224
2024-01-09,AAPL,144.94765624572753
2024-01-10,AAPL,144.2601620095449
2024-01-11,AAPL,144.44644175561592
2024-01-12,AAPL,145.08845364028335
2024-01-13,AAPL,144.73008879100996
2024-01-14,AAPL,146.3672242161447
2024-01-15,AAPL,149.45420066335467
2024-01-16,AAPL,147.68197134265847
2024-01-17,AAPL,147.49363744461385
2024-01-18,AAPL,147.0502436677199
2024-01-19,AAPL,146.24757372270068
2024-01-20,AAPL,146.98966140879529
